"","idbs","timepoint","child","code"
"pn12_se1g_101",101,"pn12","no","B Z"
"incl_se1g_101",101,"incl","no","B Z"
"pn56_se1g_101_e",101,"pn56","yes","B Z"
"tri3_se1g_101",101,"tri3","no","B Z"
"pn12_se1g_101_e",101,"pn12","yes","B Z"
"pn56_se1g_101",101,"pn56","no","B Z"
"pn12_se1g_106_e",106,"pn12","yes","A Y"
"pn12_se1g_106",106,"pn12","no","A Y"
"incl_se1g_106",106,"incl","no","A Y"
"tri3_se1g_106",106,"tri3","no","A Y"
"pn56_se1g_106_e",106,"pn56","yes","A Y"
"pn56_se1g_106",106,"pn56","no","A Y"
"pn56_se1g_107",107,"pn56","no","A Y"
"pn12_se1g_107_e",107,"pn12","yes","A Y"
"incl_se1g_107",107,"incl","no","A Y"
"tri3_se1g_107",107,"tri3","no","A Y"
"pn12_se1g_107",107,"pn12","no","A Y"
"pn56_se1g_107_e",107,"pn56","yes","A Y"
"incl_se1g_108",108,"incl","no","B Z"
"pn56_se1g_108_e",108,"pn56","yes","B Z"
"tri3_se1g_108",108,"tri3","no","B Z"
"pn12_se1g_108",108,"pn12","no","B Z"
"pn12_se1g_108_e",108,"pn12","yes","B Z"
"pn56_se1g_108",108,"pn56","no","B Z"
"pn12_se1g_111",111,"pn12","no","B Z"
"pn12_se1g_111_e",111,"pn12","yes","B Z"
"pn56_se1g_111",111,"pn56","no","B Z"
"pn56_se1g_111_e",111,"pn56","yes","B Z"
"tri3_se1g_111",111,"tri3","no","B Z"
"pn56_se1g_112",112,"pn56","no","A Y"
"pn12_se1g_112",112,"pn12","no","A Y"
"pn12_se1g_112_e",112,"pn12","yes","A Y"
"pn56_se1g_112_e",112,"pn56","yes","A Y"
"tri3_se1g_112",112,"tri3","no","A Y"
"pn56_se1g_113",113,"pn56","no","A Y"
"pn12_se1g_113_e",113,"pn12","yes","A Y"
"tri3_se1g_113",113,"tri3","no","A Y"
"pn56_se1g_113_e",113,"pn56","yes","A Y"
"pn12_se1g_113",113,"pn12","no","A Y"
"incl_se1g_113",113,"incl","no","A Y"
"pn56_se1g_117_e",117,"pn56","yes","B Z"
"tri3_se1g_117",117,"tri3","no","B Z"
"pn56_se1g_117",117,"pn56","no","B Z"
"pn12_se1g_117",117,"pn12","no","B Z"
"pn12_se1g_117_e",117,"pn12","yes","B Z"
"pn12_se1g_121_e",121,"pn12","yes","A Y"
"tri3_se1g_121",121,"tri3","no","A Y"
"pn56_se1g_121",121,"pn56","no","A Y"
"pn12_se1g_121",121,"pn12","no","A Y"
"pn56_se1g_123",123,"pn56","no","A Y"
"pn56_se1g_123_e",123,"pn56","yes","A Y"
"tri3_se1g_123",123,"tri3","no","A Y"
"pn12_se1g_123_e",123,"pn12","yes","A Y"
"pn56_se1g_124",124,"pn56","no","B Z"
"pn56_se1g_124_e",124,"pn56","yes","B Z"
"pn12_se1g_124_e",124,"pn12","yes","B Z"
"pn12_se1g_124",124,"pn12","no","B Z"
"tri3_se1g_124",124,"tri3","no","B Z"
"tri3_se1g_125",125,"tri3","no","A Y"
"pn56_se1g_125_e",125,"pn56","yes","A Y"
"pn12_se1g_125",125,"pn12","no","A Y"
"pn12_se1g_125_e",125,"pn12","yes","A Y"
"pn56_se1g_125",125,"pn56","no","A Y"
"tri3_se1g_126",126,"tri3","no","B Z"
"pn56_se1g_126",126,"pn56","no","B Z"
"pn12_se1g_126",126,"pn12","no","B Z"
"pn12_se1g_126_e",126,"pn12","yes","B Z"
"pn56_se1g_126_e",126,"pn56","yes","B Z"
"tri3_se1g_130",130,"tri3","no","B Z"
"pn56_se1g_130",130,"pn56","no","B Z"
"pn56_se1g_130_e",130,"pn56","yes","B Z"
"pn12_se1g_130",130,"pn12","no","B Z"
"pn12_se1g_130_e",130,"pn12","yes","B Z"
"pn12_se1g_131",131,"pn12","no","B Z"
"pn12_se1g_131_e",131,"pn12","yes","B Z"
"tri3_se1g_131",131,"tri3","no","B Z"
"pn56_se1g_134_e",134,"pn56","yes","B Z"
"pn12_se1g_134_e",134,"pn12","yes","B Z"
"tri3_se1g_134",134,"tri3","no","B Z"
"pn12_se1g_134",134,"pn12","no","B Z"
"pn56_se1g_134",134,"pn56","no","B Z"
"pn56_se1g_136_e",136,"pn56","yes","A Y"
"pn56_se1g_136",136,"pn56","no","A Y"
"tri3_se1g_136",136,"tri3","no","A Y"
"pn12_se1g_136_e",136,"pn12","yes","A Y"
"pn12_se1g_136",136,"pn12","no","A Y"
"pn12_se1g_138",138,"pn12","no","A Y"
"tri3_se1g_138",138,"tri3","no","A Y"
"pn12_se1g_138_e",138,"pn12","yes","A Y"
"pn56_se1g_138",138,"pn56","no","A Y"
"pn56_se1g_138_e",138,"pn56","yes","A Y"
"pn56_se1g_139_e",139,"pn56","yes","B Z"
"pn56_se1g_139",139,"pn56","no","B Z"
"tri3_se1g_139",139,"tri3","no","B Z"
"pn12_se1g_139_e",139,"pn12","yes","B Z"
"pn12_se1g_139",139,"pn12","no","B Z"
"pn12_se1g_140",140,"pn12","no","B Z"
"pn56_se1g_140",140,"pn56","no","B Z"
"pn12_se1g_140_e",140,"pn12","yes","B Z"
"pn56_se1g_140_e",140,"pn56","yes","B Z"
"tri3_se1g_140",140,"tri3","no","B Z"
"tri3_se1g_141",141,"tri3","no","A Y"
"pn12_se1g_141",141,"pn12","no","A Y"
"pn12_se1g_141_e",141,"pn12","yes","A Y"
"pn56_se1g_141",141,"pn56","no","A Y"
"pn12_se1g_143",143,"pn12","no","A Y"
"pn12_se1g_143_e",143,"pn12","yes","A Y"
"pn56_se1g_143_e",143,"pn56","yes","A Y"
"tri3_se1g_143",143,"tri3","no","A Y"
"pn56_se1g_143",143,"pn56","no","A Y"
"pn12_se1g_202_e",202,"pn12","yes","A Y"
"incl_se1g_202",202,"incl","no","A Y"
"pn12_se1g_202",202,"pn12","no","A Y"
"tri3_se1g_202",202,"tri3","no","A Y"
"pn56_se1g_203",203,"pn56","no","B Z"
"incl_se1g_203",203,"incl","no","B Z"
"tri3_se1g_203",203,"tri3","no","B Z"
"pn56_se1g_203_e",203,"pn56","yes","B Z"
"incl_se1g_204",204,"incl","no","B Z"
"pn56_se1g_204",204,"pn56","no","B Z"
"pn12_se1g_204_e",204,"pn12","yes","B Z"
"tri3_se1g_204",204,"tri3","no","B Z"
"pn56_se1g_204_e",204,"pn56","yes","B Z"
"pn12_se1g_204",204,"pn12","no","B Z"
"tri3_se1g_207",207,"tri3","no","B Z"
"pn12_se1g_207_e",207,"pn12","yes","B Z"
"pn56_se1g_207",207,"pn56","no","B Z"
"incl_se1g_207",207,"incl","no","B Z"
"pn12_se1g_207",207,"pn12","no","B Z"
"pn56_se1g_207_e",207,"pn56","yes","B Z"
"pn12_se1g_209_e",209,"pn12","yes","A Y"
"incl_se1g_209",209,"incl","no","A Y"
"pn12_se1g_209",209,"pn12","no","A Y"
"pn56_se1g_209",209,"pn56","no","A Y"
"pn12_se1g_212_e",212,"pn12","yes","B Z"
"pn12_se1g_212",212,"pn12","no","B Z"
"pn56_se1g_212",212,"pn56","no","B Z"
"tri3_se1g_212",212,"tri3","no","B Z"
"pn56_se1g_212_e",212,"pn56","yes","B Z"
"pn12_se1g_217",217,"pn12","no","B Z"
"tri3_se1g_217",217,"tri3","no","B Z"
"pn12_se1g_217_e",217,"pn12","yes","B Z"
"pn56_se1g_217",217,"pn56","no","B Z"
"pn56_se1g_225_e",225,"pn56","yes","B Z"
"pn12_se1g_225",225,"pn12","no","B Z"
"pn56_se1g_225",225,"pn56","no","B Z"
"tri3_se1g_225",225,"tri3","no","B Z"
"pn12_se1g_225_e",225,"pn12","yes","B Z"
"incl_se1g_225",225,"incl","no","B Z"
"tri3_se1g_226",226,"tri3","no","A Y"
"pn56_se1g_226",226,"pn56","no","A Y"
"pn12_se1g_226_e",226,"pn12","yes","A Y"
"pn12_se1g_226",226,"pn12","no","A Y"
"pn12_se1g_228",228,"pn12","no","B Z"
"pn12_se1g_228_e",228,"pn12","yes","B Z"
"pn56_se1g_228",228,"pn56","no","B Z"
"tri3_se1g_228",228,"tri3","no","B Z"
"pn56_se1g_228_e",228,"pn56","yes","B Z"
"pn56_se1g_229",229,"pn56","no","B Z"
"pn12_se1g_229",229,"pn12","no","B Z"
"pn12_se1g_229_e",229,"pn12","yes","B Z"
"tri3_se1g_229",229,"tri3","no","B Z"
"pn56_se1g_229_e",229,"pn56","yes","B Z"
"pn12_se1g_230",230,"pn12","no","A Y"
"pn56_se1g_230",230,"pn56","no","A Y"
"pn12_se1g_230_e",230,"pn12","yes","A Y"
"tri3_se1g_230",230,"tri3","no","A Y"
"pn12_se1g_232_e",232,"pn12","yes","A Y"
"pn12_se1g_232",232,"pn12","no","A Y"
"tri3_se1g_232",232,"tri3","no","A Y"
"pn56_se1g_232_e",232,"pn56","yes","A Y"
"pn56_se1g_232",232,"pn56","no","A Y"
"tri3_se1g_235",235,"tri3","no","A Y"
"pn12_se1g_235",235,"pn12","no","A Y"
"pn12_se1g_235_e",235,"pn12","yes","A Y"
"pn56_se1g_235_e",235,"pn56","yes","A Y"
"pn56_se1g_235",235,"pn56","no","A Y"
"pn56_se1g_237_e",237,"pn56","yes","A Y"
"pn12_se1g_237",237,"pn12","no","A Y"
"pn56_se1g_237",237,"pn56","no","A Y"
"pn12_se1g_237_e",237,"pn12","yes","A Y"
"tri3_se1g_237",237,"tri3","no","A Y"
"pn56_se1g_238",238,"pn56","no","A Y"
"pn56_se1g_238_e",238,"pn56","yes","A Y"
"tri3_se1g_238",238,"tri3","no","A Y"
"pn12_se1g_238",238,"pn12","no","A Y"
"pn12_se1g_238_e",238,"pn12","yes","A Y"
"incl_se1g_301",301,"incl","no","A Y"
"pn56_se1g_301",301,"pn56","no","A Y"
"pn56_se1g_301_e",301,"pn56","yes","A Y"
"pn12_se1g_301",301,"pn12","no","A Y"
"pn12_se1g_301_e",301,"pn12","yes","A Y"
"tri3_se1g_301",301,"tri3","no","A Y"
"pn56_se1g_303_e",303,"pn56","yes","B Z"
"tri3_se1g_303",303,"tri3","no","B Z"
"pn12_se1g_303_e",303,"pn12","yes","B Z"
"incl_se1g_303",303,"incl","no","B Z"
"pn56_se1g_303",303,"pn56","no","B Z"
"pn12_se1g_303",303,"pn12","no","B Z"
"tri3_se1g_310",310,"tri3","no","B Z"
"pn56_se1g_310_e",310,"pn56","yes","B Z"
"pn56_se1g_310",310,"pn56","no","B Z"
"incl_se1g_310",310,"incl","no","B Z"
"pn12_se1g_310",310,"pn12","no","B Z"
"pn12_se1g_310_e",310,"pn12","yes","B Z"
"pn12_se1g_311_e",311,"pn12","yes","B Z"
"pn56_se1g_311_e",311,"pn56","yes","B Z"
"tri3_se1g_311",311,"tri3","no","B Z"
"incl_se1g_311",311,"incl","no","B Z"
"pn12_se1g_311",311,"pn12","no","B Z"
"pn56_se1g_311",311,"pn56","no","B Z"
"pn56_se1g_314",314,"pn56","no","A Y"
"tri3_se1g_314",314,"tri3","no","A Y"
"pn12_se1g_314_e",314,"pn12","yes","A Y"
"pn56_se1g_314_e",314,"pn56","yes","A Y"
"pn12_se1g_314",314,"pn12","no","A Y"
"tri3_se1g_316",316,"tri3","no","A Y"
"pn56_se1g_316",316,"pn56","no","A Y"
"pn12_se1g_316",316,"pn12","no","A Y"
"pn12_se1g_316_e",316,"pn12","yes","A Y"
"pn12_se1g_319",319,"pn12","no","B Z"
"pn56_se1g_319_e",319,"pn56","yes","B Z"
"tri3_se1g_319",319,"tri3","no","B Z"
"pn56_se1g_319",319,"pn56","no","B Z"
"pn12_se1g_319_e",319,"pn12","yes","B Z"
"tri3_se1g_320",320,"tri3","no","B Z"
"pn12_se1g_323_e",323,"pn12","yes","A Y"
"pn12_se1g_323",323,"pn12","no","A Y"
"pn56_se1g_323",323,"pn56","no","A Y"
"tri3_se1g_323",323,"tri3","no","A Y"
"tri3_se1g_325",325,"tri3","no","B Z"
"pn12_se1g_325_e",325,"pn12","yes","B Z"
"pn12_se1g_325",325,"pn12","no","B Z"
"pn56_se1g_325",325,"pn56","no","B Z"
"tri3_se1g_329",329,"tri3","no","B Z"
"pn12_se1g_329",329,"pn12","no","B Z"
"pn12_se1g_329_e",329,"pn12","yes","B Z"
"pn56_se1g_329",329,"pn56","no","B Z"
"tri3_se1g_330",330,"tri3","no","A Y"
"pn12_se1g_330_e",330,"pn12","yes","A Y"
"pn56_se1g_330",330,"pn56","no","A Y"
"pn12_se1g_330",330,"pn12","no","A Y"
"tri3_se1g_331",331,"tri3","no","A Y"
"pn56_se1g_331",331,"pn56","no","A Y"
"pn12_se1g_331_e",331,"pn12","yes","A Y"
"pn12_se1g_331",331,"pn12","no","A Y"
"pn12_se1g_335_e",335,"pn12","yes","B Z"
"pn56_se1g_335_e",335,"pn56","yes","B Z"
"pn12_se1g_335",335,"pn12","no","B Z"
"pn56_se1g_335",335,"pn56","no","B Z"
"tri3_se1g_335",335,"tri3","no","B Z"
"pn12_se1g_336",336,"pn12","no","B Z"
"tri3_se1g_336",336,"tri3","no","B Z"
"pn12_se1g_336_e",336,"pn12","yes","B Z"
"pn56_se1g_336",336,"pn56","no","B Z"
"pn56_se1g_337",337,"pn56","no","B Z"
"pn56_se1g_337_e",337,"pn56","yes","B Z"
"tri3_se1g_337",337,"tri3","no","B Z"
"pn12_se1g_337_e",337,"pn12","yes","B Z"
"pn12_se1g_337",337,"pn12","no","B Z"
"pn56_se1g_338_e",338,"pn56","yes","A Y"
"pn12_se1g_338_e",338,"pn12","yes","A Y"
"tri3_se1g_338",338,"tri3","no","A Y"
"pn12_se1g_338",338,"pn12","no","A Y"
"pn56_se1g_338",338,"pn56","no","A Y"
"pn12_se1g_339",339,"pn12","no","A Y"
"tri3_se1g_339",339,"tri3","no","A Y"
"pn56_se1g_339",339,"pn56","no","A Y"
"pn12_se1g_339_e",339,"pn12","yes","A Y"
"pn12_se1g_340_e",340,"pn12","yes","A Y"
"tri3_se1g_340",340,"tri3","no","A Y"
"pn56_se1g_340",340,"pn56","no","A Y"
"pn12_se1g_340",340,"pn12","no","A Y"
"pn56_se1g_341",341,"pn56","no","B Z"
"pn12_se1g_341_e",341,"pn12","yes","B Z"
"pn12_se1g_341",341,"pn12","no","B Z"
"pn56_se1g_341_e",341,"pn56","yes","B Z"
"tri3_se1g_341",341,"tri3","no","B Z"
"pn56_se1g_342_e",342,"pn56","yes","B Z"
"pn12_se1g_342_e",342,"pn12","yes","B Z"
"tri3_se1g_342",342,"tri3","no","B Z"
"pn12_se1g_342",342,"pn12","no","B Z"
"pn56_se1g_342",342,"pn56","no","B Z"
"tri3_se1g_345",345,"tri3","no","B Z"
"pn12_se1g_345",345,"pn12","no","B Z"
"pn56_se1g_345_e",345,"pn56","yes","B Z"
"pn56_se1g_345",345,"pn56","no","B Z"
"pn12_se1g_345_e",345,"pn12","yes","B Z"
"pn56_se1g_346_e",346,"pn56","yes","B Z"
"pn56_se1g_346",346,"pn56","no","B Z"
"tri3_se1g_346",346,"tri3","no","B Z"
"pn12_se1g_346_e",346,"pn12","yes","B Z"
"pn12_se1g_346",346,"pn12","no","B Z"
"pn56_se1g_347",347,"pn56","no","B Z"
"pn12_se1g_347",347,"pn12","no","B Z"
"tri3_se1g_347",347,"tri3","no","B Z"
"pn12_se1g_347_e",347,"pn12","yes","B Z"
"pn56_se1g_347_e",347,"pn56","yes","B Z"
"tri3_se1g_348",348,"tri3","no","A Y"
"pn56_se1g_348_e",348,"pn56","yes","A Y"
"pn12_se1g_348_e",348,"pn12","yes","A Y"
"pn56_se1g_348",348,"pn56","no","A Y"
"pn56_se1g_349_e",349,"pn56","yes","B Z"
"tri3_se1g_349",349,"tri3","no","B Z"
"pn12_se1g_349",349,"pn12","no","B Z"
"pn56_se1g_349",349,"pn56","no","B Z"
"pn12_se1g_349_e",349,"pn12","yes","B Z"
"pn12_se1g_351_e",351,"pn12","yes","A Y"
"tri3_se1g_351",351,"tri3","no","A Y"
"pn56_se1g_351",351,"pn56","no","A Y"
"pn56_se1g_351_e",351,"pn56","yes","A Y"
"pn12_se1g_351",351,"pn12","no","A Y"
"pn56_se1g_352_e",352,"pn56","yes","A Y"
"pn56_se1g_352",352,"pn56","no","A Y"
"pn12_se1g_352_e",352,"pn12","yes","A Y"
"pn12_se1g_352",352,"pn12","no","A Y"
"tri3_se1g_352",352,"tri3","no","A Y"
"pn56_se1g_353",353,"pn56","no","A Y"
"tri3_se1g_353",353,"tri3","no","A Y"
"pn12_se1g_353_e",353,"pn12","yes","A Y"
"pn12_se1g_353",353,"pn12","no","A Y"
"pn56_se1g_353_e",353,"pn56","yes","A Y"
"pn56_se1g_401_e",401,"pn56","yes","A Y"
"pn56_se1g_401",401,"pn56","no","A Y"
"incl_se1g_401",401,"incl","no","A Y"
"tri3_se1g_401",401,"tri3","no","A Y"
"pn12_se1g_401_e",401,"pn12","yes","A Y"
"pn12_se1g_401",401,"pn12","no","A Y"
"pn12_se1g_402",402,"pn12","no","B Z"
"pn12_se1g_402_e",402,"pn12","yes","B Z"
"pn56_se1g_402_e",402,"pn56","yes","B Z"
"pn56_se1g_402",402,"pn56","no","B Z"
"incl_se1g_402",402,"incl","no","B Z"
"tri3_se1g_402",402,"tri3","no","B Z"
"tri3_se1g_405",405,"tri3","no","B Z"
"pn56_se1g_405_e",405,"pn56","yes","B Z"
"incl_se1g_405",405,"incl","no","B Z"
"pn56_se1g_405",405,"pn56","no","B Z"
"pn12_se1g_405",405,"pn12","no","B Z"
"pn12_se1g_405_e",405,"pn12","yes","B Z"
"pn56_se1g_411",411,"pn56","no","B Z"
"pn56_se1g_411_e",411,"pn56","yes","B Z"
"tri3_se1g_411",411,"tri3","no","B Z"
"pn12_se1g_411_e",411,"pn12","yes","B Z"
"pn12_se1g_411",411,"pn12","no","B Z"
"incl_se1g_411",411,"incl","no","B Z"
"pn12_se1g_412",412,"pn12","no","A Y"
"tri3_se1g_412",412,"tri3","no","A Y"
"pn12_se1g_412_e",412,"pn12","yes","A Y"
"pn12_se1g_414_e",414,"pn12","yes","B Z"
"pn56_se1g_414_e",414,"pn56","yes","B Z"
"pn56_se1g_414",414,"pn56","no","B Z"
"pn12_se1g_414",414,"pn12","no","B Z"
"tri3_se1g_414",414,"tri3","no","B Z"
"pn56_se1g_415",415,"pn56","no","A Y"
"tri3_se1g_415",415,"tri3","no","A Y"
"pn12_se1g_415_e",415,"pn12","yes","A Y"
"pn12_se1g_415",415,"pn12","no","A Y"
"pn12_se1g_418_e",418,"pn12","yes","A Y"
"tri3_se1g_418",418,"tri3","no","A Y"
"pn12_se1g_418",418,"pn12","no","A Y"
"pn56_se1g_418",418,"pn56","no","A Y"
